,0,1,2,3,4,5,6
0,319,0,0,0,0,1,1
1,320,1,1,3,0,0,0
2,321,6,0,0,0,0,1
3,322,0,0,0,0,0,1
4,323,0,0,0,0,0,0
5,324,1,1,0,0,0,0
6,325,2,0,0,0,0,0
7,326,1,0,0,0,0,0
8,327,0,0,0,0,0,0
9,328,1,0,0,0,0,1
10,329,1,0,0,0,0,3
11,330,2,0,0,0,0,0
12,331,0,0,0,0,0,0
13,332,0,0,0,0,0,0
14,333,2,0,0,0,0,0
15,334,0,1,0,0,0,0
16,335,5,0,1,0,2,0
17,336,0,0,0,3,2,1
18,337,0,0,0,0,0,0
19,338,4,0,0,0,0,0
20,339,2,0,0,0,0,0
21,340,2,0,0,0,0,0
22,341,0,0,0,0,0,2
23,342,0,0,0,0,0,0
24,343,1,0,0,0,0,2
25,344,4,0,0,0,0,0
26,345,0,0,0,0,0,0
27,346,0,0,0,0,0,0
28,347,0,0,0,0,0,1
29,348,0,0,0,0,2,0
30,349,1,9,2,0,0,0
31,350,1,0,0,0,0,0
32,351,4,0,0,0,0,1
33,352,1,0,0,0,0,0
34,353,2,0,0,0,0,1
35,354,0,0,0,0,0,0
36,355,2,4,0,0,0,0
37,356,2,0,0,0,0,2
38,357,0,0,0,0,0,1
39,358,1,4,0,0,0,0
40,359,0,0,0,0,0,0
41,360,0,0,0,0,0,0
42,361,0,0,0,0,0,1
43,362,1,0,0,0,0,1
44,363,4,0,0,1,0,0
45,364,1,0,0,0,0,0
46,365,0,0,0,0,0,1
47,366,0,0,0,0,2,0
48,367,4,0,0,0,0,0
49,368,4,0,0,0,0,0
50,369,1,1,0,0,2,2
51,370,11,0,1,2,0,0
52,371,3,0,0,0,0,0
53,372,5,1,2,0,0,0
54,373,9,0,0,0,0,0
55,374,3,1,0,1,0,0
56,375,3,0,0,0,0,0
57,376,2,0,0,1,0,2
58,377,1,0,0,0,0,0
59,378,3,0,0,0,0,0
60,379,5,0,0,0,0,1
61,380,3,0,0,0,0,0
62,381,1,2,2,0,0,0
63,382,1,0,0,0,0,0
64,383,3,0,0,0,0,0
65,384,4,0,0,0,1,0
66,385,1,1,6,0,4,1
67,386,3,0,0,0,0,0
68,387,5,0,1,0,0,1
69,388,5,0,0,0,9,0
70,389,0,0,0,0,0,0
71,390,4,0,0,0,0,2
72,391,2,0,0,0,0,0
73,392,9,1,2,1,0,0
74,393,7,0,1,1,2,0
75,394,2,0,0,0,0,0
76,395,0,0,0,0,0,1
77,396,5,2,0,1,0,0
78,397,3,0,0,0,0,0
79,398,0,0,0,0,0,0
80,399,1,0,0,2,0,1
81,400,1,1,0,0,2,0
82,401,0,0,0,0,0,0
83,402,5,0,0,0,0,1
84,403,2,1,0,0,2,1
85,404,0,0,0,0,4,0
86,405,6,0,0,0,1,2
87,406,0,0,0,0,0,0
88,407,5,0,0,0,0,0
89,408,5,0,0,0,0,0
90,409,0,0,0,0,0,0
91,410,5,0,0,1,5,1
92,411,5,0,0,0,2,0
93,412,4,0,0,0,0,0
94,413,6,0,0,0,1,0
95,414,3,0,0,0,2,4
96,415,2,0,0,0,0,0
97,416,3,0,0,0,0,0
98,417,1,0,0,0,10,1
99,418,2,0,0,0,0,0
100,419,1,0,1,0,10,1
101,420,1,0,0,0,0,0
102,421,1,0,0,0,10,1
103,422,0,0,0,2,0,0
104,423,4,0,0,0,3,2
105,424,5,0,1,0,0,0
106,425,9,0,0,0,0,0
107,426,2,0,0,0,0,2
108,427,4,0,0,0,0,0
109,428,5,0,1,0,0,0
110,429,2,0,0,0,0,1
111,430,3,0,1,0,0,2
112,431,4,0,1,0,0,3
113,432,5,0,1,0,0,1
114,433,2,0,1,0,0,2
115,434,9,0,0,0,0,0
116,435,3,0,1,0,0,3
117,436,2,0,1,0,0,4
118,437,0,0,0,0,0,2
119,438,0,0,0,0,0,0
120,439,4,0,0,0,0,2
121,440,4,0,0,0,0,1
122,441,7,0,0,0,0,1
123,442,2,0,0,0,0,0
124,443,4,0,1,0,0,1
125,444,0,0,0,0,2,1
126,445,0,0,0,0,0,0
127,446,2,0,0,9,0,0
128,447,0,0,0,0,0,0
129,448,1,0,0,0,0,0
130,449,0,0,0,0,0,0
131,450,2,0,0,0,0,0
132,451,7,0,0,0,0,0
133,452,0,0,0,0,1,1
134,453,8,0,1,0,0,0
135,454,4,0,0,0,0,0
136,455,0,0,0,0,1,0
137,456,8,0,1,0,0,0
138,457,1,2,0,0,2,1
139,458,0,1,1,1,0,0
140,459,4,0,0,0,4,1
141,460,1,0,0,0,0,0
142,461,2,0,0,0,2,0
143,462,0,0,0,0,0,0
144,463,0,0,0,0,0,0
145,464,0,0,0,0,0,0
146,465,1,0,0,0,0,0
147,466,0,0,0,0,1,1
148,467,9,0,1,0,0,0
149,468,0,0,2,1,0,3
150,469,0,0,1,0,0,1
151,470,6,0,1,0,2,0
152,471,0,1,2,1,0,0
153,472,1,0,0,0,0,0
154,473,7,0,0,0,0,0
155,474,1,0,0,0,0,0
156,475,0,0,0,0,0,2
157,476,0,0,0,1,1,0
158,477,0,0,0,0,0,0
159,478,0,0,0,0,0,0
160,479,9,0,1,0,0,0
161,480,0,0,0,0,0,0
162,481,0,0,0,0,1,0
163,482,0,0,0,0,0,0
164,483,0,0,0,0,0,0
165,484,1,0,0,0,0,0
166,485,5,0,0,0,0,1
167,486,0,0,0,0,6,0
168,487,8,0,2,0,0,0
169,488,0,0,0,0,0,0
170,489,1,0,0,0,0,1
171,490,2,0,1,0,0,0
172,491,9,0,0,0,3,1
173,492,3,0,0,0,0,0
174,493,1,0,1,0,5,0
175,494,9,0,0,0,0,0
176,495,2,0,0,0,2,1
177,496,4,0,0,0,2,0
178,497,1,0,0,0,1,1
179,498,2,1,1,0,0,0
180,499,1,0,0,0,1,0
181,500,0,0,0,0,0,0
182,501,1,0,0,0,1,0
183,502,0,0,0,0,0,3
184,503,0,0,0,1,4,0
185,504,0,0,0,2,0,0
186,505,0,0,0,0,0,2
187,506,5,0,0,0,0,0
188,507,0,0,0,0,0,0
189,508,0,0,0,0,0,2
190,509,2,0,0,0,0,0
191,510,0,0,0,0,2,0
192,511,1,0,0,0,0,0
193,512,1,0,0,0,0,0
194,513,0,0,0,0,0,2
195,514,0,0,0,0,0,0
196,515,7,0,0,0,0,0
197,516,2,0,0,0,1,0
198,517,1,0,2,0,3,0
199,518,0,0,0,0,6,0
200,519,0,0,0,0,0,1
201,520,6,2,0,0,0,0
202,521,0,0,0,0,2,0
203,522,2,0,0,0,1,1
204,523,0,0,0,0,0,0
205,524,0,0,0,1,0,0
206,525,2,0,0,0,6,0
207,526,0,0,0,0,0,0
208,527,0,0,0,0,0,0
209,528,0,0,0,0,0,1
210,529,0,0,0,0,0,0
211,530,0,0,0,0,1,2
212,531,0,0,0,0,1,1
213,532,0,0,0,0,1,0
214,533,0,0,0,0,1,1
215,534,0,0,0,0,0,0
216,535,0,1,2,0,0,0
217,536,2,0,0,0,0,1
218,537,0,0,0,0,0,0
219,538,0,0,0,0,0,0
220,539,1,0,0,1,4,1
221,540,0,0,0,0,0,0
222,541,1,0,0,0,0,1
223,542,0,0,0,0,0,0
224,543,0,0,0,0,0,0
225,544,0,0,0,0,0,0
226,545,0,0,0,0,0,0
227,546,1,0,0,0,1,0
228,547,0,0,0,0,0,0
229,548,1,0,0,0,0,1
230,549,3,0,0,0,1,0
231,550,1,0,0,0,0,3
232,551,0,0,0,0,1,0
233,552,0,0,0,0,0,0
234,553,2,0,1,0,0,0
235,554,5,0,1,1,0,0
236,555,1,4,1,1,0,1
237,556,1,0,0,1,0,0
238,557,0,0,0,0,0,0
239,558,5,0,0,0,0,1
240,559,0,0,0,0,0,0
241,560,0,0,0,0,0,0
242,561,0,0,0,0,0,1
243,562,0,0,0,0,0,0
244,563,1,0,0,0,0,0
245,564,0,0,0,0,0,0
246,565,0,0,0,0,2,1
247,566,1,1,0,0,0,0
248,567,1,0,1,0,1,0
249,568,0,0,0,0,0,0
250,569,1,0,0,0,0,0
251,570,3,0,0,0,0,1
252,571,0,0,0,0,0,0
253,572,0,0,1,1,1,0
254,573,1,0,0,0,0,0
255,574,1,0,2,0,0,1
256,575,1,0,1,1,2,5
257,576,0,0,0,0,0,0
258,577,0,0,0,0,0,0
259,578,4,0,0,0,0,0
260,579,0,0,0,0,0,0
261,580,0,0,0,0,0,1
262,581,1,0,2,0,2,0
263,582,0,0,0,0,0,0
264,583,0,0,0,0,0,1
265,584,4,0,3,0,0,1
266,585,4,0,0,0,0,3
267,586,0,0,0,0,0,0
268,587,2,0,0,0,0,2
269,588,0,0,0,0,0,0
270,589,8,0,1,1,0,0
271,590,0,0,0,0,0,0
272,591,0,0,0,0,0,0
273,592,0,0,2,0,3,0
274,593,1,2,0,1,0,0
275,594,2,0,0,0,2,0
276,595,2,0,0,0,0,0
277,596,1,2,0,0,0,0
278,597,1,0,3,0,1,0
279,598,1,0,0,0,0,2
280,599,0,0,0,0,0,0
281,600,2,0,0,0,1,2
282,601,2,0,0,0,4,1
