,0,1,2,3,4,5,6
0,251538521716188_1017766205093412,0,0,0,0,0,0
1,251538521716188_1017071295162903,0,0,0,0,0,0
2,251538521716188_1017013648502001,0,0,0,0,0,1
3,251538521716188_1015612261975473,6,0,0,0,10,9
4,251538521716188_1016344088568957,1,0,0,0,0,0
5,251538521716188_1015681028635263,0,0,0,0,0,1
6,251538521716188_1013587588844607,1,0,0,0,1,1
7,251538521716188_1013633998839966,0,0,0,0,0,0
8,251538521716188_979464125590287,0,0,2,0,0,2
9,251538521716188_1012933618910004,2,1,0,0,0,1
10,251538521716188_1011913429012023,1,0,0,0,1,0
11,251538521716188_1009827982553901,4,0,0,2,0,1
12,251538521716188_1009290592607640,4,4,0,0,0,0
13,251538521716188_1006472462889453,0,0,0,0,0,0
14,251538521716188_1007782596091773,4,1,0,0,0,7
15,251538521716188_1007179779485388,0,0,0,0,0,1
16,251538521716188_1004302209773145,1,0,0,0,0,0
17,251538521716188_1001666956703337,2,4,0,1,0,0
18,251538521716188_1003673193169380,0,0,0,0,0,0
19,251538521716188_1004467166423316,5,2,0,3,0,2
20,251538521716188_1004363816433651,0,0,0,0,0,0
21,251538521716188_1004502856419747,2,0,0,0,0,1
22,251538521716188_1003134499889916,0,0,0,0,0,0
23,251538521716188_1001666440036722,0,0,0,0,1,1
24,251538521716188_999070456962987,1,0,0,0,0,3
25,251538521716188_1001663750036991,1,0,0,0,0,1
26,251538521716188_999486006921432,1,0,0,0,0,0
27,251538521716188_998398740363492,1,0,0,0,1,2
28,251538521716188_999060923630607,2,0,0,0,0,0
29,251538521716188_998306390372727,5,0,0,1,12,0
30,251538521716188_998413877028645,0,0,0,0,0,0
31,251538521716188_998408223695877,0,0,0,0,0,0
32,251538521716188_994018457468187,0,0,0,0,1,2
33,251538521716188_995166260686740,9,0,0,0,0,0
34,251538521716188_995208464015853,0,0,0,0,0,0
35,251538521716188_995194594017240,0,0,0,0,0,0
36,251538521716188_992673210936045,0,0,0,0,0,0
37,251538521716188_993420520861314,5,0,0,2,3,3
38,251538521716188_990781194458580,3,1,0,0,0,0
39,251538521716188_992737690929597,2,0,0,0,1,0
40,251538521716188_992750400928326,1,0,0,0,0,1
41,251538521716188_988822601321106,0,0,0,0,1,1
42,251538521716188_990875594449140,3,0,0,0,1,2
43,251538521716188_990019407868092,2,1,0,0,0,2
44,251538521716188_990138757856157,2,1,1,0,1,0
45,251538521716188_989502137919819,2,7,4,0,0,0
46,251538521716188_989498514586848,1,1,0,0,0,1
47,251538521716188_988874337982599,7,8,4,0,0,2
48,251538521716188_986337431569623,0,0,0,0,0,0
49,251538521716188_985133721689994,3,8,4,0,0,0
50,251538521716188_986388511564515,0,1,0,0,1,2
51,251538521716188_986347581568608,3,6,0,0,0,2
52,251538521716188_986347251568641,0,0,5,0,0,0
53,251538521716188_986273798242653,6,1,3,0,0,1
54,251538521716188_985103608359672,14,0,1,0,11,0
55,251538521716188_984288951774471,2,0,0,0,0,1
