no,text
319,"#曬年夜飯抽長榮航空新春福袋
小潔好奇大家團圓飯都吃什麼呢?🤔
🎁即日起至　2/10 23:59在下方留言
曬出你家的經典澎派團圓飯🍲🥗🍖
5名幸運的得主就有機會得到【長榮航空新春福袋】哦
飛過地球一圈又一圈✈
全世界都是長榮航空的家人
團圓，是我們共通的語言👨👩👦👦
在這一年中最重要的日子
長榮航空向您慶賀闔家團圓、喜迎新年🤗🎉
#長榮航空賀新春 #農曆新年快樂 #HappyLunarNewYear"
320,"🎉日本旅遊新選擇~松山市開賣🎉
🙋‍♀松山市在哪兒呢❓
松山位於日本四國，緊鄰著美麗的瀨戶內海，有「溫泉、城堡、文學的小鎮」之稱。
小潔推薦行程：
🔹喜愛愜意漫遊的你，搭乘「少爺列車」欣賞街景，漫步道後商店街。
🔹喜愛運動的冒險者，以腳踏車代步暢遊島波海道。… More
🔹夜晚別錯過擁有日本最古老溫泉之一的道後溫泉。
✈ 立即安排2019年的旅程吧：https://goo.gl/6pIkGR
#BR110/109TPE-MYJ
#2019年7月18日啟航
#最低售價TWD7321元起(未稅)
#一定要吃Madonna少爺糯米糰也不可錯過"
321,"【春節期間旅遊小叮嚀】
農曆春節期間是否已安排了出國行程呢?
春節期間搭機旅客多👧🧒👦🧑👨👴🧓
長榮與立榮航空於桃園機場出發的自營航班，
即日起~2/17期間的櫃檯服務每日最早受理報到時間為04:15，
報到結束時間由航班起飛「前40 分鐘」調整為「前60分鐘」，… More
請務必於航班起飛前一小時完成報到及行李託運，並儘速前往登機，
登機手續將於航班起飛前10 分鐘結束。
建議可於航班起飛前48至1.5小時內，使用長榮航空手機APP或長榮航空網站辦理報到，並請保留充裕的時間完成行李託運及通關手續
長榮航空祝您旅途愉快！😃
🤗報到小撇步：
搭機前1.5~48小時使用官網、手機APP報到更便利。
官網報到：https://goo.gl/LhJZES"
322,"長榮猜一猜🤔
請問大家知道這是哪架機型的內裝嗎?✈
小潔請你猜一猜❓"
323,
324,"農曆連假 出國選擇多✈ 旭川(AKJ)開賣😍

小潔連行程都想好囉🤭
早上 旭山動物園看企鵝趴趴走🐧🐧🐧
下午 中午雪之美術館唱Let It go 👩‍🎤🎵🎶
晚上 欣賞冬祭光雕投影及煙火❄⛄

✈立即訂票GOGOGO：https://goo.gl/6pIkGR

#TPEAKJBR136/135… More
#飛航期間2月2日至2月26日
#優惠價TWD14400元起(未稅)"
325,"天際的夢想，不變的翱翔
長榮與您相伴，攜手飛向下一個十年~
#10yearschallenges
#長榮航空的用心你看得到
#因為你是長榮不斷前進的動力
*上圖：2005年起加入機隊服務 B777-300ER彩帶機
*下圖：2018年起加入機隊服務 台灣首架B787-9 夢幻客機"
326,"【小潔與大師對談🗣 ~Jason Wu吳季剛】

小潔懷抱著無比崇敬的心情，與我的時尚偶像-吳季剛見面了🤗

在慵懶的午後，細細聆聽Jason說明此次長榮新款睡衣的設計理念👂
舒適、美觀的細膩設計，灰、黃跳色搭配的驚艷巧思，
即使是睡衣，實用與時尚不再衝突🛌

#吳季剛x長榮航空星光聯名時尚新款睡衣
#2019年1月中下旬與你機上相遇… More

更多新品回顧：https://goo.gl/fb2v7J
🌟想要第一時間收到粉絲團訊息，要記得設定✔搶先看喔"
327,"就在今夜(1/18)，立即加入長榮LINE好友📱
今晚8點準時好康告訴你！🕗

加好友捷徑這邊請💁
https://line.me/R/ti/p/%40evaair

#2019跟著長榮旅行去🧳
#今晚好康讓明天補班也不憂鬱
#官方帳號搜尋長榮航空EVAAIR"
328,"長榮領航✈飛在最前方
國籍航空首推Google Pay、Apple Pay支付

即日起，透過 長榮航空官網💻 / EVA MOBILE APP📱
購買台灣出發的長榮機票，可使用Google Pay及Apple Pay支付功能囉！

🏃‍♀還等什麼呢?現在就開始規劃2019的旅行吧~✈

#其他地區出發將陸續上線敬請期待
#小潔就是想為你提供更多便利服務
#長榮航空購票更Easy🤩"
