,0,1
0,長榮航空,2113
1,小潔,1226
2,長榮,1079
3,活動,910
4,http,739
5,機票,610
6,粉絲,511
7,優惠,479
8,飛機,444
9,旅客,406
10,EVAAir,395
11,航班,387
12,服務,367
13,機會,354
14,More,351
15,機上,350
16,台北,339
17,Kitty,328
18,Hello,319
19,機場,305
20,得獎者,302
21,全球,291
22,獲得,291
23,搭乘,277
24,2017,272
25,可以,267
26,留言,265
27,分享,263
28,提供,252
29,出發,249
30,2016,246
31,世界,244
32,EVA,241
33,桃園,237
34,BR,235
35,旅遊,232
36,航線,220
37,2015,217
38,彩繪機,216
39,即日起,215
40,班機,215
41,旅行,206
42,日本,204
43,期間,204
44,航空,203
45,體驗,203
46,照片,201
47,飛行,198
48,購票,197
49,就是,195
50,朋友,194
51,安全,182
52,參加,182
53,今天,178
54,787,177
55,只要,175
56,使用,174
57,香港,173
58,現場,164
59,時間,159
60,特別,158
61,飛航,154
62,最佳,153
63,前往,152
64,網站,151
65,航空公司,147
66,東京,143
67,除了,142
68,加入,141
69,會員,141
70,旅程,140
71,國際,140
72,報到,138
73,星空,137
74,影片,135
75,資訊,134
76,設計,133
77,桂冠,133
78,大獎,133
79,夢幻,132
80,來回,132
81,土耳其,132
82,TWD,130
83,粉絲團,130
84,即將,130
85,未稅,129
86,經濟艙,129
87,訊息,128
88,推出,128
89,完成,127
90,手機,127
91,享受,127
92,空中,127
93,相關,126
94,休士頓,126
95,一同,125
96,行程,124
97,2018,124
98,實際,124
99,取消,124
